ORD,Accession number,Continent,Country,Accession name,Year of cross ,Year of release,,Corporative Data Base (Clon) ,Corporative Data Base(Fam) ,Invitro,Population,Catalogue,Organization
,CIP392797.22,SWCA,Tajikistan,Tajikiston ,1992,2013,,YES,YES,YES,LTVR,YES,
,CIP392797.22,ASIA,Vietnam,Candidate,1992,--,,YES,YES,YES,LTVR,YES,
,CIP392797.22,ASIA,Bhutan,Yusimaap,1992,2020,,YES,YES,YES,LTVR,YES,
,CIP392797.22,ASIA,India,Kufri Uday,1992,2021,,YES,YES,YES,LTVR,YES,
,CIP392797.22,SSA,Nigeria,UNICA,1992,2023,,YES,YES,YES,LTVR,YES,NRCRI and CIP 
88,CIP392820.1,ASIA,Bangladesh,BARI Alu-73,1992,2016,,YES,YES,YES,LTVR,YES,
89,CIP393077.159,SSA,Kenya,Konjo,1993,2015,,YES,YES,YES,B3C1,YES,
,CIP393077.159,SSA,Rwanda,Kazeneza,1993,2019,,YES,YES,YES,B3C1,YES,
90,CIP393077.54,SSA,Mozambique,Wa kaya,1993,2011,,YES,YES,YES,B3C1,YES,
91,CIP393079.4,SSA,Kenya,Lenana,1993,2017,,YES,YES,YES,B3C1,YES,
92,CIP393227.44,SSA,Angola,IIA 50,1993,2013,,NO,YES,NO,B3C1,NO,
93,CIP393280.64,SSA,Rwanda,Nkunganire,1993,2019,,YES,YES,YES,B3C1,YES,
,CIP393280.64,ASIA,Bangladesh,BARI Potato -53,1993,2014,,YES,YES,YES,B3C1,YES,
,CIP393280.64,LAC,Costa Rica,Pasquí,1993,2011,,YES,YES,YES,B3C1,YES,
,CIP393280.64,SSA,Rwanda,Nkunganire,1993,2019,,YES,YES,YES,B3C1,YES,
94,CIP393280.82,SSA,Uganda,Naropot 2,1993,2015,,YES,YES,YES,B3C1,NO,
95,CIP393371.157,SSA,Kenya,Wanjiku,1993,2017,,YES,YES,YES,B3C1,YES,
,CIP393371.157,SSA,Nigeria,Juriya,1993,2023,,YES,YES,YES,B3C1,YES,NRCRI and CIP 
96,CIP393371.58,ASIA,Bangladesh,BARI Potato-46,1993,2013,,YES,YES,YES,B3C1,YES,
,CIP393371.58,LAC,Costa Rica,Kamuk,1993,2011,,YES,YES,YES,B3C1,YES,
,CIP393371.58,SSA,Ethiopia,Belete,1993,2009,,YES,YES,YES,B3C1,YES,
,CIP393371.58,SSA,Kenya,Kenya Mpya,1993,2010,,YES,YES,YES,B3C1,YES,
,CIP393371.58,LAC,Peru,INIA 310;Chucmarina,1993,2007,,YES,YES,YES,B3C1,YES,
,CIP393371.58,SSA,Rwanda,Meru/Twihaze,1993,2012,,YES,YES,YES,B3C1,YES,
,CIP393371.58,SSA,Tanzania,Meru,1993,2012,,YES,YES,YES,B3C1,YES,
,CIP393371.58,SSA,Nigeria,Babban,1993,2023,,YES,YES,YES,B3C1,YES,NRCRI and CIP 
97,CIP393382.44,SSA,Angola,IIA50,1993,--,,YES,YES,YES,B3C1,YES,
,CIP393382.44,SSA,Uganda,Kachpot 1,1993,2006,,YES,YES,YES,B3C1,YES,
98,CIP393385.39,SSA,Kenya,Sherekea,1993,2010,,YES,YES,YES,B3C1,YES,
,CIP393385.39,SSA,Rwanda,Sherehekea,1993,2012,,YES,YES,YES,B3C1,YES,
,CIP393385.39,SSA,Tanzania,Sherehekea,1993,2012,,YES,YES,YES,B3C1,YES,
,CIP393385.39,SSA,Uganda,Kachpot 2,1993,2006,,YES,YES,YES,B3C1,YES,
99,CIP394611.112,SSA,Rwanda,Jyambere,1994,2020,,YES,YES,YES,,NO,
100,CIP395011.2,SSA,Mozambique,Kholophethe,1995,2011,,YES,YES,YES,"	B3C2",YES,
101,CIP395015.6,SSA,Angola,Rosa,1995,2014,,YES,YES,YES,B3C2,YES,
,CIP395015.6,SSA,Malawi,Chuma,1995,2011,,YES,YES,YES,B3C2,YES,
,CIP395015.6,SSA,Mozambique,Chitukuko,1995,2011,,YES,YES,YES,B3C2,YES,
102,CIP395111.13,SSA,Angola,Preferencia Chevron,1995,2013,,YES,YES,YES,B3C2,YES,
103,CIP396004.337,SSA,Ethiopia,Dagem,1996,2013,,YES,YES,YES,"	B3C2",NO,
104,CIP396018.241,SSA,Rwanda,Izihirve,1996,2019,,YES,YES,YES,B3C2,YES,
105,CIP396027.205,SSA,Malawi,Njuli,1996,2011,,YES,YES,YES,B3C2,YES,
106,CIP396034.103,SSA,Uganda,Naropot 3,1996,2015,,YES,YES,YES,B3C2,NO,
107,CIP396036.201,SSA,Angola,Barcelhina,1996,2014,,YES,YES,YES,B3C2,YES,
,CIP396036.201,SSA,Malawi,Mwai,1996,2011,,YES,YES,YES,B3C2,YES,
108,CIP396038.107,SSA,Uganda,Naropot 1,1996,2015,,YES,YES,YES,B3C2,NO,
109,CIP396311.1,ASIA,Bangladesh,BARI Alu-72,1996,2016,,YES,YES,YES,LTVR,YES,
,CIP396311.1,SWCA,Georgia,AISI,1996,2020,,YES,YES,YES,LTVR,YES,
110,CIP397006.18,ASIA,India,Kufri Thar 2,1997,2020,,YES,YES,YES,LTVR,NO,
111,CIP397029.21,ASIA,Bangladesh,BARI Alu-81,1997,2019,,YES,YES,YES,LTVR,NO,
112,CIP397065.28,ASIA,India,Kufri Lima,1997,2018,,YES,YES,YES,--,YES,
113,CIP397073.16,ASIA,Indonesia,--,1997,--,,YES,YES,YES,LTVR,YES,
,CIP397073.16,SWCA,Uzbekistan,Serkhosil,1997,2010,,YES,YES,YES,LTVR,YES,
114,CIP397077.16,SWCA,Kazakhstan,Alliance,1997,2009,,YES,YES,YES,LTVR,YES,
,CIP397077.16,SWCA,Tajikistan,Fayzobod,1997,2015,,YES,YES,YES,LTVR,YES,
,CIP397077.16,SWCA,Uzbekistan,Sarnav,1997,2015,,YES,YES,YES,LTVR,YES,
115,CIP398017.53,LAC,Costa Rica,Palmira,1998,2020,,YES,YES,YES,LBHT-1,YES,
116,CIP398190.200,SSA,Kenya,Nyota,1998,2017,,YES,YES,YES,"	LBHT-1",YES,
,CIP398190.200,SSA,Nigeria,Kyau,1998,2023,,YES,YES,YES,LBHT-1,YES,NRCRI and CIP 
117,CIP398190.615,SSA,Rwanda,Ndeza,1998,2019,,YES,YES,YES,LBHT-1,YES,
118,CIP398190.89,SSA,Rwanda,Seka,1998,2020,,YES,YES,YES,LBHT-1,NO,
119,CIP398208.620,SWCA,Georgia,Tskriala,1998,2020,,YES,YES,YES,LBHT-1,YES,
120,CIP398208.704,SSA,Kenya,Chulu,1998,2017,,YES,YES,YES,"	LBHT-1",YES,
121,CIP398211.35,LAC,Peru,Musuq Tomasa,1998,--,,YES,YES,YES,,YES,
122,CIP399049.22,LAC,Peru,Poderosa,1999,2017,,YES,YES,YES,B1C5,YES,
123,CIP399062.118,LAC,Peru,Kawsay,1999,2017,,YES,YES,YES,B1C5,YES,
124,CIP399075.7,LAC,Peru,Puca Lliclla INIA 312,1999,2007,,YES,YES,YES,B1C5,YES,
125,CIP399085.23,LAC,Peru,"INIA 311, Pallay Poncho",1999,2007,,YES,YES,YES,B1C5,YES,
